"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260301","경의선","풍산","4603","4436","20260304",""
"20260301","경의선","일산","6310","6053","20260304",""
"20260301","경의선","탄현","5007","4766","20260304",""
"20260301","경의선","야당","6010","6158","20260304",""
"20260301","경의선","운정","5132","4867","20260304",""
"20260301","경의선","금릉","3365","3287","20260304",""
"20260301","경의선","금촌","5533","5492","20260304",""
"20260301","경의선","월롱","949","1040","20260304",""
"20260301","경의선","파주","838","709","20260304",""
"20260301","경의선","문산","4310","4335","20260304",""
"20260301","경의선","임진강","35","48","20260304",""
"20260301","경의선","운천","4","5","20260304",""
"20260301","경인선","개봉","14838","14534","20260304",""
"20260301","경인선","오류동","8167","7590","20260304",""
"20260301","경인선","역곡","16619","16657","20260304",""
"20260301","경인선","부천","26102","26263","20260304",""
"20260301","경인선","송내","15327","15051","20260304",""
"20260301","경인선","부평","26211","27489","20260304",""
"20260301","경인선","백운","4698","4509","20260304",""
"20260301","경강선","신둔도예촌","1063","1021","20260304",""
"20260301","경인선","동암","11191","11008","20260304",""
"20260301","경인선","주안","14019","11970","20260304",""
"20260301","경인선","제물포","6599","6247","20260304",""
"20260301","경인선","동인천","11021","10267","20260304",""
"20260301","경인선","인천","5024","4362","20260304",""
"20260301","경인선","구일","3850","3837","20260304",""
"20260301","경인선","소사","6068","5888","20260304",""
"20260301","경인선","부개","5568","5196","20260304",""
"20260301","경인선","간석","3899","3754","20260304",""
"20260301","경인선","도원","2087","2169","20260304",""
"20260301","경인선","온수(성공회대입구)","4430","4017","20260304",""
"20260301","경인선","중동","6102","5774","20260304",""
"20260301","경인선","도화","2822","2599","20260304",""
"20260301","경춘선","신내","1498","1423","20260304",""
"20260301","경춘선","갈매","1683","1508","20260304",""
"20260301","경춘선","별내","1820","1552","20260304",""
"20260301","경춘선","퇴계원","2415","2194","20260304",""
"20260301","경춘선","사릉","1291","1364","20260304",""
"20260301","경춘선","금곡","1036","908","20260304",""
"20260301","경춘선","평내호평","4177","3917","20260304",""
"20260301","경춘선","천마산","1140","1154","20260304",""
"20260301","경춘선","마석","2883","2846","20260304",""
"20260301","경춘선","대성리","682","608","20260304",""
"20260301","경춘선","청평","1618","1583","20260304",""
"20260301","경춘선","상천","359","295","20260304",""
"20260301","경춘선","가평","1963","1908","20260304",""
